"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 2 2 1 53.241500000 0.171900000 3379.422300000 60.560000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -1 6 54.080600000 0.169400000 3368.262200000 60.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 2 4 0 54.214700000 0.169100000 979.455700000 17.550000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 0 6 0 55.295700000 0.166000000 322.610100000 5.780000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 3 -2 -1 56.176100000 0.163600000 39.832900000 0.710000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 2 3 1 57.409600000 0.160400000 745.667000000 13.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 3 -2 2 57.465600000 0.160200000 177.701300000 3.180000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 8 57.607100000 0.159900000 655.027800000 11.740000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 5 1 58.995200000 0.156400000 2375.061800000 42.560000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 6 0 59.110800000 0.156200000 43.838100000 0.790000000 1.000000000 1.000000000 0.000000000
