"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 1 0 1 25.309800000 0.351600000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 1 0 3 36.953400000 0.243100000 273.682100000 4.900000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 0 0 4 37.793000000 0.237800000 1345.827300000 24.120000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 1 1 2 38.574500000 0.233200000 274.897300000 4.930000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 2 0 0 48.050000000 0.189200000 2153.412200000 38.590000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 1 0 5 53.888800000 0.170000000 1462.022300000 26.200000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Anatase (hkl) (Anatase.str)" 2 1 1 55.075900000 0.166600000 1407.494100000 25.220000000 1.000000000 1.000000000 0.000000000
