"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 0 0 1 18.586600000 0.477000000 38838.459900000 52.730000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 1 -1 0 32.803400000 0.272800000 1031.685900000 1.400000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 0 0 2 37.686100000 0.238500000 267.956300000 0.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 1 -1 1 37.965900000 0.236800000 73657.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 1 -1 -1 37.965900000 0.236800000 1291.955000000 1.750000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 1 -1 2 50.809100000 0.179600000 25853.040400000 35.100000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 1 -1 -2 50.809100000 0.179600000 11469.769400000 15.570000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 0 0 3 57.954900000 0.159000000 375.525100000 0.510000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 2.RAW" "BRUCITE (hkl) (BRUCITE.STR)" 2 -1 0 58.560200000 0.157500000 23430.776700000 31.810000000 1.000000000 1.000000000 0.000000000
