"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 0 35.322300000 0.253900000 3.202900000 0.060000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 0 35.761600000 0.250900000 9.634100000 0.170000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 -1 36.335100000 0.247100000 474.338400000 8.500000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 1 36.552300000 0.245600000 847.024300000 15.180000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 2 0 36.862600000 0.243600000 2.079600000 0.040000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 0 4 37.020100000 0.242600000 195.621700000 3.510000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 1 37.613200000 0.238900000 1281.763200000 22.970000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 -3 37.752300000 0.238100000 36.802300000 0.660000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 2 -1 37.841200000 0.237600000 25.404100000 0.460000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 2 1 38.256900000 0.235100000 61.445700000 1.100000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 -2 39.242200000 0.229400000 308.161100000 5.520000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 2 40.046900000 0.225000000 476.974800000 8.550000000 1.000000000 1.000000000 0.000000000
